"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Rashad Ross",3000,"NYG@Was 01:00PM ET",2.657,"Was"
"WR","Marqise Lee",3000,"SD@Jax 01:00PM ET",2.575,"Jax"
"WR","DeVante Parker",3000,"Mia@NYJ 01:00PM ET",0.989,"Mia"
"WR","Bruce Ellington",3000,"Ari@SF 04:05PM ET",2.014,"SF"
"WR","Tyler Lockett",3000,"Pit@Sea 04:25PM ET",8.540,"Sea"
"WR","Bradley Marquez",3000,"StL@Cin 01:00PM ET",0.670,"StL"
"WR","Rashad Greene",3000,"SD@Jax 01:00PM ET",6.567,"Jax"
"WR","Devin Smith",3000,"Mia@NYJ 01:00PM ET",2.029,"NYJ"
"RB","Akeem Hunt",3000,"NO@Hou 01:00PM ET",0.400,"Hou"
"WR","De'Anthony Thomas",3000,"Buf@KC 01:00PM ET",4.540,"KC"
"RB","Bishop Sankey",3000,"Oak@Ten 01:00PM ET",5.363,"Ten"
"WR","Cody Latimer",3000,"NE@Den 08:30PM ET",1.856,"Den"
"WR","Brittan Golden",3000,"Ari@SF 04:05PM ET",0.000,"Ari"
"WR","Tyrell Williams",3000,"SD@Jax 01:00PM ET",0.000,"SD"
"WR","Cordarrelle Patterson",3000,"Min@Atl 01:00PM ET",1.050,"Min"
"WR","Chris Harper",3000,"NE@Den 08:30PM ET",0.000,"NE"
"RB","Damien Williams",3000,"Mia@NYJ 01:00PM ET",2.100,"Mia"
"WR","Jaelen Strong",3000,"NO@Hou 01:00PM ET",4.160,"Hou"
"WR","Adam Thielen",3000,"Min@Atl 01:00PM ET",2.200,"Min"
"WR","Mario Alford",3000,"StL@Cin 01:00PM ET",0,"Cin"
"WR","Donteea Dye",3000,"TB@Ind 01:00PM ET",2.520,"TB"
"DST","Broncos ",2900,"NE@Den 08:30PM ET",12.700,"Den"
"TE","Owen Daniels",2900,"NE@Den 08:30PM ET",8.040,"Den"
"DST","Chiefs ",2800,"Buf@KC 01:00PM ET",9.700,"KC"
"TE","Jared Cook",2700,"StL@Cin 01:00PM ET",5.910,"StL"
"TE","Lance Kendricks",2700,"StL@Cin 01:00PM ET",4.711,"StL"
"TE","Vance McDonald",2700,"Ari@SF 04:05PM ET",3.544,"SF"
"DST","Bills ",2600,"Buf@KC 01:00PM ET",7.300,"Buf"
"DST","Jaguars ",2600,"SD@Jax 01:00PM ET",6.300,"Jax"
"DST","Texans ",2500,"NO@Hou 01:00PM ET",7.300,"Hou"
"DST","Dolphins ",2500,"Mia@NYJ 01:00PM ET",6.800,"Mia"
"DST","Buccaneers ",2500,"TB@Ind 01:00PM ET",8.700,"TB"
"TE","Mike Leach",2500,"Ari@SF 04:05PM ET",0.000,"Ari"
"TE","Craig Stevens",2500,"Oak@Ten 01:00PM ET",1.470,"Ten"
"TE","Marcedes Lewis",2500,"SD@Jax 01:00PM ET",1.970,"Jax"
"TE","Scott Chandler",2500,"NE@Den 08:30PM ET",4.000,"NE"
"TE","Matt Spaeth",2500,"Pit@Sea 04:25PM ET",0.200,"Pit"
"TE","Clark Harris",2500,"StL@Cin 01:00PM ET",0.000,"Cin"
"TE","Anthony Fasano",2500,"Oak@Ten 01:00PM ET",5.350,"Ten"
"TE","Kellen Davis",2500,"Mia@NYJ 01:00PM ET",0.710,"NYJ"
"TE","Brandon Myers",2500,"TB@Ind 01:00PM ET",2.470,"TB"
"TE","Darren Fells",2500,"Ari@SF 04:05PM ET",6.188,"Ari"
"TE","Tony Moeaki",2500,"Min@Atl 01:00PM ET",0.350,"Atl"
"TE","David Johnson",2500,"SD@Jax 01:00PM ET",0.020,"SD"
"TE","Clay Harbor",2500,"SD@Jax 01:00PM ET",2.678,"Jax"
"TE","Garrett Graham",2500,"NO@Hou 01:00PM ET",1.625,"Hou"
"TE","Andrew DePaola",2500,"TB@Ind 01:00PM ET",0.000,"TB"
"TE","Anthony McCoy",2500,"NYG@Was 01:00PM ET",0.000,"Was"
"TE","Virgil Green",2500,"NE@Den 08:30PM ET",2.790,"Den"
"TE","John Phillips",2500,"SD@Jax 01:00PM ET",1.920,"SD"
"TE","Richard Gordon",2500,"NE@Den 08:30PM ET",0.000,"Den"
"TE","Kyle Nelson",2500,"Ari@SF 04:05PM ET",0.000,"SF"
"TE","Matthew Mulligan",2500,"Buf@KC 01:00PM ET",0.120,"Buf"
"TE","Jermaine Gresham",2500,"Ari@SF 04:05PM ET",3.480,"Ari"
"TE","Jeff Cumberland",2500,"Mia@NYJ 01:00PM ET",1.411,"NYJ"
"TE","Michael Hoomanawanui",2500,"NO@Hou 01:00PM ET",2.825,"NO"
"TE","Lee Smith",2500,"Oak@Ten 01:00PM ET",1.511,"Oak"
"TE","Luke Stocker",2500,"TB@Ind 01:00PM ET",0.650,"TB"
"TE","Jordan Cameron",2500,"Mia@NYJ 01:00PM ET",6.390,"Mia"
"TE","Rhett Ellison",2500,"Min@Atl 01:00PM ET",2.244,"Min"
"TE","Larry Donnell",2500,"NYG@Was 01:00PM ET",7.913,"NYG"
"TE","Garrett Celek",2500,"Ari@SF 04:05PM ET",5.560,"SF"
"TE","Jake Stoneburner",2500,"Mia@NYJ 01:00PM ET",3.617,"Mia"
"TE","Mychal Rivera",2500,"Oak@Ten 01:00PM ET",3.580,"Oak"
"TE","Cory Harkey",2500,"StL@Cin 01:00PM ET",0.280,"StL"
"TE","Beau Brinkley",2500,"Oak@Ten 01:00PM ET",0.000,"Ten"
"TE","Dwayne Allen",2500,"TB@Ind 01:00PM ET",3.025,"Ind"
"TE","Kevin McDermott",2500,"Min@Atl 01:00PM ET",0.000,"Min"
"TE","Ryan Griffin",2500,"NO@Hou 01:00PM ET",4.000,"Hou"
"TE","Michael Williams",2500,"NE@Den 08:30PM ET",0.390,"NE"
"TE","Chris Gragg",2500,"Buf@KC 01:00PM ET",2.629,"Buf"
"TE","Luke Willson",2500,"Pit@Sea 04:25PM ET",3.444,"Sea"
"TE","Josh Hill",2500,"NO@Hou 01:00PM ET",3.070,"NO"
"TE","James Winchester",2500,"Buf@KC 01:00PM ET",0.000,"KC"
"TE","Jack Doyle",2500,"TB@Ind 01:00PM ET",1.970,"Ind"
"TE","Ryan Hewitt",2500,"StL@Cin 01:00PM ET",0.750,"Cin"
"TE","Levine Toilolo",2500,"Min@Atl 01:00PM ET",1.160,"Atl"
"TE","Justice Cunningham",2500,"StL@Cin 01:00PM ET",0.000,"StL"
"TE","Gabe Holmes",2500,"Oak@Ten 01:00PM ET",0,"Oak"
"TE","Dion Sims",2500,"Mia@NYJ 01:00PM ET",2.757,"Mia"
"TE","Jerome Cunningham",2500,"NYG@Was 01:00PM ET",2.300,"NYG"
"TE","Nic Jacobs",2500,"SD@Jax 01:00PM ET",0.178,"Jax"
"TE","Brandon Williams",2500,"Mia@NYJ 01:00PM ET",0.000,"Mia"
"TE","Cooper Helfet",2500,"Pit@Sea 04:25PM ET",0.213,"Sea"
"TE","Blake Bell",2500,"Ari@SF 04:05PM ET",0.588,"SF"
"TE","MyCole Pruitt",2500,"Min@Atl 01:00PM ET",1.190,"Min"
"TE","Cameron Brate",2500,"TB@Ind 01:00PM ET",4.263,"TB"
"TE","Will Tye",2500,"NYG@Was 01:00PM ET",4.171,"NYG"
"TE","Clive Walford",2500,"Oak@Ten 01:00PM ET",4.370,"Oak"
"TE","C.J. Fiedorowicz",2500,"NO@Hou 01:00PM ET",2.790,"Hou"
"TE","Brian Parker",2500,"Buf@KC 01:00PM ET",0.533,"KC"
"TE","Tyler Kroft",2500,"StL@Cin 01:00PM ET",0.000,"Cin"
"TE","C.J. Uzomah",2500,"StL@Cin 01:00PM ET",0,"Cin"
"TE","Austin Seferian-Jenkins",2500,"TB@Ind 01:00PM ET",17.950,"TB"
"TE","Demetrius Harris",2500,"Buf@KC 01:00PM ET",0.810,"KC"
"TE","Troy Niklas",2500,"Ari@SF 04:05PM ET",1.750,"Ari"
"TE","Phillip Supernaw",2500,"Oak@Ten 01:00PM ET",0.260,"Ten"
"TE","Jesse James",2500,"Pit@Sea 04:25PM ET",5.250,"Pit"
"TE","Derek Carrier",2500,"NYG@Was 01:00PM ET",3.380,"Was"
"DST","Raiders ",2400,"Oak@Ten 01:00PM ET",5.600,"Oak"
"DST","Giants ",2400,"NYG@Was 01:00PM ET",9.400,"NYG"
"DST","Vikings ",2300,"Min@Atl 01:00PM ET",7.500,"Min"
"DST","Saints ",2300,"NO@Hou 01:00PM ET",4.900,"NO"
"DST","Chargers ",2300,"SD@Jax 01:00PM ET",3.900,"SD"
"DST","Titans ",2200,"Oak@Ten 01:00PM ET",6.900,"Ten"
"DST","Colts ",2000,"TB@Ind 01:00PM ET",6.700,"Ind"
"DST","49ers ",2000,"Ari@SF 04:05PM ET",4.200,"SF"
"DST","Redskins ",2000,"NYG@Was 01:00PM ET",7.500,"Was"
